,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
0,0.5,0.01,0.13737795073877984,0.9767239322809184,0.24087623277431067,0.17630614999619187,403863.0,1619679.0,6147.0,257944.0
1,0.5,0.011,0.14237677233129112,0.9727139508729945,0.24839570421489948,0.20802658584671885,476165.0,1547377.0,7206.0,256885.0
2,0.5,0.011999999999999999,0.14742162484390692,0.9682609403576797,0.2558838966433557,0.23744685298020007,544709.0,1478833.0,8382.0,255709.0
3,0.5,0.012999999999999998,0.15253040619442,0.9644743667902352,0.26340382868290846,0.2651160139613836,608361.0,1415181.0,9382.0,254709.0
4,0.5,0.013999999999999997,0.15768574033103136,0.9602296178211298,0.2708872672152678,0.29081035199912064,668944.0,1354598.0,10503.0,253588.0
5,0.5,0.014999999999999996,0.16278501355579802,0.9558031133207872,0.2781907281513006,0.3142503311200717,725333.0,1298209.0,11672.0,252419.0
6,0.5,0.015999999999999993,0.16804937353548538,0.9515545777781144,0.285651279620476,0.33675191986441655,779463.0,1244079.0,12794.0,251297.0
7,0.5,0.016999999999999994,0.17328037469323654,0.9467342696267574,0.29294343570918896,0.3572416868189877,830679.0,1192863.0,14067.0,250024.0
8,0.5,0.017999999999999995,0.17833458108522862,0.941679193914219,0.2998783913411258,0.3754349548522178,877723.0,1145819.0,15402.0,248689.0
9,0.5,0.018999999999999993,0.1835167611777616,0.937820675448993,0.3069652493573647,0.39327699906372393,921635.0,1101907.0,16421.0,247670.0
10,0.5,0.01999999999999999,0.18870677827456675,0.9338031208939342,0.31396601244614647,0.4098564966083993,963314.0,1060228.0,17482.0,246609.0
11,0.5,0.02099999999999999,0.19388968366003165,0.9299180964137361,0.32087609418678864,0.42534295045679527,1002513.0,1021029.0,18508.0,245583.0
12,0.5,0.021999999999999992,0.19907024524296377,0.926033071933538,0.32769547101776986,0.43978717241675014,1039603.0,983939.0,19534.0,244557.0
13,0.5,0.02299999999999999,0.20410063597322006,0.9221026085705306,0.3342233824198493,0.4528200337586414,1073929.0,949613.0,20572.0,243519.0
14,0.5,0.023999999999999987,0.20909102669696722,0.9180168956912579,0.3406046420799306,0.46482393008935785,1106487.0,917055.0,21651.0,242440.0
15,0.5,0.024999999999999988,0.2140108689582305,0.9142303221238134,0.34683226815719503,0.4760249377038211,1136815.0,886727.0,22651.0,241440.0
16,0.5,0.02599999999999999,0.21915343144397495,0.9112313558583973,0.3533300885131162,0.48750306160999524,1166110.0,857432.0,23443.0,240648.0
17,0.5,0.02699999999999999,0.2239312214251876,0.9074712883059248,0.3592199102456104,0.4970216905214459,1192980.0,830562.0,24436.0,239655.0
